prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
low,temperature_T1.5,baseline,2000,D1_cost_aware_topk,342891.266,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,temperature_T1.5,baseline,5000,D2_cost_aware_abstention,350393.09900000005,D2_cost_aware_abstention,0.8,clear_winner
low,temperature_T1.5,baseline,10000,D2_cost_aware_abstention,350405.098,D2_cost_aware_abstention,0.9,clear_winner
low,temperature_T1.5,high,500,D1_cost_aware_topk,355947.803,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,temperature_T1.5,high,1000,D2_cost_aware_abstention,358886.921,D2_cost_aware_abstention,0.7,clear_winner
low,temperature_T1.5,high,2000,D2_cost_aware_abstention,362094.015,D2_cost_aware_abstention,0.9,clear_winner
low,temperature_T1.5,high,5000,D2_cost_aware_abstention,357763.18,D2_cost_aware_abstention,1.0,clear_winner
low,temperature_T1.5,high,10000,D2_cost_aware_abstention,362061.16099999996,D2_cost_aware_abstention,0.7,clear_winner
low,temperature_T1.5,low,500,D1_cost_aware_topk,324477.243,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
low,temperature_T1.5,low,1000,D1_cost_aware_topk,305865.775,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
low,temperature_T1.5,low,2000,D1_cost_aware_topk,308463.552,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
low,temperature_T1.5,low,5000,D2_cost_aware_abstention,340626.837,D2_cost_aware_abstention,0.9,clear_winner
low,temperature_T1.5,low,10000,D2_cost_aware_abstention,340930.683,D2_cost_aware_abstention,1.0,clear_winner
low,temperature_T2.5,baseline,500,D1_cost_aware_topk,351012.266,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.9,near_equivalent
low,temperature_T2.5,baseline,1000,D1_cost_aware_topk,348119.185,"D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,temperature_T2.5,baseline,2000,A_fixed_threshold_fifo,368740.699,A_fixed_threshold_fifo,0.7,clear_winner
low,temperature_T2.5,baseline,5000,A_fixed_threshold_fifo,350942.333,A_fixed_threshold_fifo,1.0,clear_winner
low,temperature_T2.5,baseline,10000,A_fixed_threshold_fifo,356681.078,A_fixed_threshold_fifo,1.0,clear_winner
