prevalence,calibration,fp_cost_regime,capacity,policy,mean_cost,std_cost,n_seeds,ci95_low,ci95_high,interval_method,best_policy,best_mean_cost,abs_diff_from_best,pct_diff_from_best,near_eq_1pct,near_eq_0.005,near_eq_0.01,near_eq_0.02
baseline,calibrated_by_construction_T1.0,high,10000,A_fixed_threshold_fifo,668794.203,20794.400292066377,10,655905.7001699607,681682.7058300392,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,591189.539,77604.66399999999,0.13126866915011498,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,10000,B_topk_probability,1512665.514,17237.506953464494,10,1501981.596501436,1523349.4314985638,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,591189.539,921475.975,1.5586811237537814,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,10000,C_expected_exposure,1497118.878,11254.02913172953,10,1490143.5584776101,1504094.19752239,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,591189.539,905929.339,1.5323839128351018,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,10000,D1_cost_aware_topk,1183311.3220000002,11005.825459628957,10,1176489.8407073915,1190132.8032926088,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,591189.539,592121.7830000002,1.0015768952907675,False,False,False,False
baseline,calibrated_by_construction_T1.0,high,10000,D2_cost_aware_abstention,591189.539,16349.88781012576,10,581055.7735462289,601323.3044537711,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,591189.539,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,500,A_fixed_threshold_fifo,639105.747,16289.953869191262,10,629009.1289876795,649202.3650123205,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,566432.295,72673.45199999993,0.12830033287561743,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,500,B_topk_probability,634850.3230000001,16844.303909671627,10,624410.1152728903,645290.5307271099,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,566432.295,68418.02800000005,0.120787653888979,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,500,C_expected_exposure,566667.794,10715.871064617912,10,560026.0283033303,573309.5596966697,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,566432.295,235.4989999999525,0.00041575842705076076,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,500,D1_cost_aware_topk,566432.295,11431.384670254924,10,559347.0493759625,573517.5406240376,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,566432.295,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,500,D2_cost_aware_abstention,566432.295,11431.384670254924,10,559347.0493759625,573517.5406240376,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,566432.295,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,1000,A_fixed_threshold_fifo,614292.4519999999,12301.779942669371,10,606667.7297969698,621917.1742030301,normal_approx_mean_pm_1.96_se,C_expected_exposure,526776.9450000001,87515.50699999987,0.16613389752658947,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,1000,B_topk_probability,610644.692,11204.270535227788,10,603700.2131752415,617589.1708247586,normal_approx_mean_pm_1.96_se,C_expected_exposure,526776.9450000001,83867.74699999997,0.15920922089709139,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,1000,C_expected_exposure,526776.9450000001,8462.278405359026,10,521531.9705047432,532021.919495257,normal_approx_mean_pm_1.96_se,C_expected_exposure,526776.9450000001,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,1000,D1_cost_aware_topk,527050.2150000001,9587.678875792442,10,521107.71006652986,532992.7199334702,normal_approx_mean_pm_1.96_se,C_expected_exposure,526776.9450000001,273.2700000000186,0.0005187584661663934,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,1000,D2_cost_aware_abstention,527050.2150000001,9587.678875792442,10,521107.71006652986,532992.7199334702,normal_approx_mean_pm_1.96_se,C_expected_exposure,526776.9450000001,273.2700000000186,0.0005187584661663934,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,2000,A_fixed_threshold_fifo,614688.4349999999,13011.492110641844,10,606623.8286379197,622753.0413620801,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,491772.745,122915.68999999994,0.24994408748699554,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,2000,B_topk_probability,597300.3400000001,12211.968196038008,10,589731.2836942486,604869.3963057515,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,491772.745,105527.59500000009,0.214586099113728,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,2000,C_expected_exposure,493677.49100000004,4499.108794180995,10,490888.9144788209,496466.06752117915,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,491772.745,1904.7460000000428,0.00387322400309119,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,2000,D1_cost_aware_topk,491772.745,3561.3363353171185,10,489565.40587063023,493980.08412936976,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,491772.745,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,2000,D2_cost_aware_abstention,491772.745,3561.3363353171185,10,489565.40587063023,493980.08412936976,normal_approx_mean_pm_1.96_se,D1_cost_aware_topk,491772.745,0.0,0.0,True,True,True,True
