condition,policy_label,delta_name,ref_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,ref_mean_cost,practical_band_abs,ci_within_1pct_practical_band,mean_cost
REVIEW_EFFECTIVENESS_OPTIMISM,D2_estimated,vs_d1_oracle,D1_oracle,20,19,319.1099999999918,1401.6979742966826,313.4291954451135,-336.90484542045954,975.1248454204432,includes_0,2.093024054408263,577820.8940000001,5778.208940000001,True,578140.0039999998
REVIEW_EFFECTIVENESS_OPTIMISM,D2_estimated,vs_B,B_topk_probability,20,19,-77635.2105,9149.079633390491,2045.796399181999,-81917.11157390973,-73353.30942609027,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,578140.0039999998
REVIEW_EFFECTIVENESS_OPTIMISM,D2_estimated,vs_C,C_expected_exposure,20,19,-5130.700500000001,2686.1759444264962,600.6472011262342,-6387.869540170207,-3873.5314598297946,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,578140.0039999998
REVIEW_EFFECTIVENESS_PESSIMISM,B_topk_probability,vs_d1_oracle,D1_oracle,20,19,77954.3205,9486.918746113663,2121.3395213327217,73514.30585428371,82394.3351457163,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,655775.2145
REVIEW_EFFECTIVENESS_PESSIMISM,B_topk_probability,vs_C,C_expected_exposure,20,19,72504.51000000001,9826.294665816431,2197.226283970912,67905.66253467082,77103.3574653292,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,False,655775.2145
REVIEW_EFFECTIVENESS_PESSIMISM,C_expected_exposure,vs_d1_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,583270.7045
REVIEW_EFFECTIVENESS_PESSIMISM,C_expected_exposure,vs_B,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583270.7045
REVIEW_EFFECTIVENESS_PESSIMISM,D1_oracle,vs_B,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577820.8940000001
REVIEW_EFFECTIVENESS_PESSIMISM,D1_oracle,vs_C,C_expected_exposure,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577820.8940000001
REVIEW_EFFECTIVENESS_PESSIMISM,D2_oracle,vs_d1_oracle,D1_oracle,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,575894.0939999999
REVIEW_EFFECTIVENESS_PESSIMISM,D2_oracle,vs_B,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,575894.0939999999
REVIEW_EFFECTIVENESS_PESSIMISM,D2_oracle,vs_C,C_expected_exposure,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,575894.0939999999
REVIEW_EFFECTIVENESS_PESSIMISM,D1_estimated,vs_d1_oracle,D1_oracle,20,19,447.88799999999463,1601.2959858505324,358.06066764593317,-301.541590320426,1197.3175903204153,includes_0,2.093024054408263,577820.8940000001,5778.208940000001,True,578268.782
REVIEW_EFFECTIVENESS_PESSIMISM,D1_estimated,vs_B,B_topk_probability,20,19,-77506.4325,9697.870568899916,2168.509782905477,-82045.1756378408,-72967.68936215919,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,578268.782
REVIEW_EFFECTIVENESS_PESSIMISM,D1_estimated,vs_C,C_expected_exposure,20,19,-5001.922499999998,2964.5547431148916,662.8945928624324,-6389.376828398241,-3614.468171601755,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,578268.782
REVIEW_EFFECTIVENESS_PESSIMISM,D2_estimated,vs_d1_oracle,D1_oracle,20,19,1500.9774999999966,4376.8596981792825,978.6955813108087,-547.4558936266042,3549.4108936265975,includes_0,2.093024054408263,577820.8940000001,5778.208940000001,True,579321.8715
