review_volume,precision_among_reviewed,fraud_dollars_captured,fraud_loss_remaining,fp_intervention_cost,review_cost,total_system_cost,review_effectiveness,policy_label,base_policy,info_set,deployable,is_oracle_reference,condition,e_true,e_hat,r_true,r_hat,abstention_rate,overlap_with_d1_oracle,spearman_vs_oracle_benefit,capacity_utilization,seed,capacity
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.3225,177188.35,478970.72,52583.23,50000.0,581553.96,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,,0.782531,0.693247,1.0,1076,2000
1714,0.3396,168129.2,488029.88,44443.02,42850.0,575322.9,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,FP_COST_NOISE_HIGH,0.8,0.8,25.0,25.0,0.98286,0.769414,0.693247,0.857,1076,2000
2000,0.484,89631.49,566527.59,45749.82,50000.0,662277.41,0.8,B_topk_probability,B_topk_probability,probability_only,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.246883,1.0,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_oracle,C_expected_exposure,probability_plus_true_exposure,False,True,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.305,187766.93,468392.15,60933.61,50000.0,579325.76,0.8,C_est,C_expected_exposure,probability_plus_estimated_exposure,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.736865,0.367622,1.0,1076,2000
2000,0.339,180643.51,475515.57,50760.95,50000.0,576276.52,0.8,D1_oracle,D1_cost_aware_topk,full_true_decision_economics,False,True,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,1.0,1.0,1.0,1076,2000
1536,0.3516,158470.07,497689.01,38762.93,38400.0,574851.94,0.8,D2_oracle,D2_cost_aware_abstention,full_true_decision_economics_plus_abstention,False,True,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,0.98464,0.768,1.0,0.768,1076,2000
2000,0.3315,181479.57,474679.5,52477.44,50000.0,577156.95,0.8,D1_est,D1_cost_aware_topk,full_estimated_decision_economics,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,,0.948368,0.998283,1.0,1076,2000
2000,0.3315,181479.57,474679.5,52477.44,50000.0,577156.95,0.8,D2_est,D2_cost_aware_abstention,full_estimated_decision_economics_plus_abstention,True,False,REVIEW_EFFECTIVENESS_OPTIMISM,0.8,1.0,25.0,25.0,0.97905,0.948368,0.998283,1.0,1076,2000
