condition,comparison,left_policy,right_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,paired_interval_method,left_mean_cost,right_mean_cost,relative_pct_of_right_mean,practical_band_abs,practical_class,practical_band_note
FP_COST_NOISE_HIGH,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,-4260.4805,2112.678374898291,472.4092460866364,-5249.244415584202,-3271.716584415797,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579162.691,583423.1714999999,-0.7302556202980705,5834.231715,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,estimation_penalty_D1,D1_est,D1_oracle,20,19,5602.277499999985,2703.4626514525044,604.512626327962,4337.0180319020465,6867.536968097923,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583423.1714999999,577820.8940000001,0.9695525998061233,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,estimation_penalty_D2,D2_est,D2_oracle,20,19,3268.596999999997,2730.6787000518407,610.5983198026674,1990.6000290717448,4546.593970928249,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579162.691,575894.0939999999,0.5675691128028824,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
FP_COST_NOISE_HIGH,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,583270.7045,655775.2145,-11.056305330978624,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-77588.1965,9230.381501404267,2063.976049539651,-81908.14801940904,-73268.24498059097,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,578187.0179999999,655775.2145,-11.83152317813012,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-77635.2105,9149.079633390491,2045.796399181999,-81917.11157390973,-73353.30942609027,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,578140.0039999998,655775.2145,-11.838692403035308,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_D1_est_minus_C_est,D1_est,C_est,20,19,-5083.686499999993,2591.049667336167,579.3763189241886,-6296.335072062833,-3871.0379279371537,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,578187.0179999999,583270.7045,-0.8715826906406874,5832.707045,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_D2_est_minus_C_est,D2_est,C_est,20,19,-5130.700500000001,2686.1759444264962,600.6472011262342,-6387.869540170207,-3873.5314598297946,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,578140.0039999998,583270.7045,-0.8796430988932004,5832.707045,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,-47.014000000007215,204.67874783362552,45.76755937055245,-142.8066026741318,48.77860267411735,includes_0,2.093024054408263,student_t_df_n_minus_1,578140.0039999998,578187.0179999999,-0.008131279073444577,5781.870179999999,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
